Rk,Player,Yds,FantPt,Season,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,1D,Succ%,FantPt,PPR,FantPt,PPR/G,Pos,-9999
19,DeVonta Smith,916,121.6,2021,23,PHI,17,16,104,64,916,14.3,5,53.9,61.5,8.8,43,54.8,121.6,185.6,7.15,10.92,WR,SmitDe07
20,Amon-Ra St. Brown,912,137.3,2021,22,DET,17,9,119,90,912,10.1,5,53.6,75.6,7.7,48,59.7,137.3,227.3,8.08,13.37,WR,StxxAm00
21,Jordan Addison,911,151.3,2023,21,MIN,17,14,108,70,911,13.0,10,53.6,64.8,8.4,38,50.0,151.3,221.3,8.90,13.02,WR,AddiJo00
22,Tee Higgins,908,127.6,2020,21,CIN,16,14,108,67,908,13.6,6,56.8,62.0,8.4,52,55.6,127.6,194.6,7.98,12.16,WR,HiggTe00
23,D.K. Metcalf,900,129.1,2019,22,SEA,16,15,100,58,900,15.5,7,56.3,58.0,9.0,39,52.0,129.1,187.1,8.07,11.69,WR,MetcDK00
24,Chase Claypool,873,152.9,2020,22,PIT,16,6,109,62,873,14.1,9,54.6,56.9,8.0,41,48.6,152.9,214.9,9.56,13.43,WR,ClayCh01
25,Jordan Matthews,872,135.2,2014,22,PHI,16,10,103,67,872,13.0,8,54.5,65.0,8.5,43,52.4,135.2,202.2,8.45,12.64,WR,MattJo00
26,Cooper Kupp,869,114.9,2017,24,LAR,15,6,94,62,869,14.0,5,57.9,66.0,9.2,42,57.4,114.9,176.9,7.66,11.79,WR,KuppCo00
27,Drake London,866,106.6,2022,21,ATL,17,15,117,72,866,12.0,4,50.9,61.5,7.4,48,56.4,106.6,178.6,6.27,10.51,WR,LondDr00
28,Zay Flowers,858,129.4,2023,23,BAL,16,16,108,77,858,11.1,5,53.6,71.3,7.9,41,55.6,129.4,206.4,8.09,12.90,WR,FlowZa00
29,Jerry Jeudy,856,105.6,2020,21,DEN,16,14,113,52,856,16.5,3,53.5,46.0,7.6,39,36.3,105.6,157.6,6.60,9.85,WR,JeudJe00
30,Calvin Ridley,821,142.8,2018,24,ATL,16,5,92,64,821,12.8,10,51.3,69.6,8.9,39,51.1,142.8,206.8,8.93,12.93,WR,RidlCa00
31,Deebo Samuel,802,132.1,2019,23,SFO,15,11,81,57,802,14.1,3,53.5,70.4,9.9,32,53.1,132.1,189.1,8.81,12.61,WR,SamuDe00
32,George Pickens,801,114.5,2022,21,PIT,17,12,84,52,801,15.4,4,47.1,61.9,9.5,38,48.8,114.5,166.5,6.74,9.79,WR,PickGe00
33,Jayden Reed,793,153.2,2023,23,GNB,16,13,94,64,793,12.4,8,49.6,68.1,8.4,32,51.1,153.2,217.2,9.58,13.58,WR,ReedJa03
34,D.J. Moore,788,102.0,2018,21,CAR,16,10,82,55,788,14.3,2,49.3,67.1,9.6,33,53.7,102.0,157.0,6.38,9.81,WR,MoorD.00
35,Josh Downs,771,89.1,2023,22,IND,17,9,98,68,771,11.3,2,45.4,69.4,7.9,30,50.0,89.1,157.1,5.24,9.24,WR,DownJo00
36,Jarvis Landry,758,97.4,2014,22,MIA,16,11,112,84,758,9.0,5,47.4,75.0,6.8,50,52.7,97.4,181.4,6.09,11.34,WR,LandJa00
37,Brandon Aiyuk,748,124.5,2020,22,SFO,12,11,96,60,748,12.5,5,62.3,62.5,7.8,42,57.3,124.5,184.5,10.38,15.38,WR,AiyuBr00
38,Keelan Cole,748,90.8,2017,24,JAX,16,6,83,42,748,17.8,3,46.8,50.6,9.0,32,45.8,90.8,132.8,5.68,8.30,WR,ColeKe00
39,Darius Slayton,740,122.0,2019,22,NYG,14,9,84,48,740,15.4,8,52.9,57.1,8.8,32,48.8,122.0,170.0,8.71,12.14,WR,SlayDa01
40,Stefon Diggs,720,97.3,2015,22,MIN,13,9,84,52,720,13.8,4,55.4,61.9,8.6,30,46.4,97.3,149.3,7.48,11.48,WR,DiggSt00
41,Tank Dell,709,118.0,2023,24,HOU,11,8,75,47,709,15.1,7,64.5,62.7,9.5,34,54.7,118.0,165.0,10.73,15.00,WR,DellNa00
42,Courtland Sutton,704,94.3,2018,23,DEN,16,9,84,42,704,16.8,4,44.0,50.0,8.4,30,45.2,94.3,136.3,5.89,8.52,WR,SuttCo00
43,John Brown,696,99.0,2014,24,ARI,16,5,102,48,696,14.5,5,43.5,47.1,6.8,31,36.3,99.0,147.0,6.19,9.19,WR,BrowJo02
